film_name,year,song_name,singer(s),music_director,lyricist,duration
Bumper,2023,Kudi Kudi Thoothukudi Kudi,"Kapil Kapilan , Govind Vasantha",Govind Vasantha,Karthik Netha,3:53
Prathyardhi,2023,Edo Nasha Nasha,Mohana Bhogaraju,Bheems Ceciroleo,Suresh Gangula,3:30
Prathyardhi,2023,Nee Kanulalo,Javed Ali,Prini Siddhant Madhav,Prini Siddhant Madhav,3:43
Ravanasura,2023,Ravanasura Anthem,"Shanti People, Novlik, Harika Narayan, Harshavardhan Rameshwar",Harshavardhan Rameshwar,Traditional Song,4:06
Ravanasura,2023,Pyaar Lona Paagal,Ravi Teja,Harshavardhan Rameshwar,Kasarla Shyam,3:35
Ravanasura,2023,Veyyinokka,Anurag Kulkarni,Harshavardhan Rameshwar,Sirivennela Sitarama Sastry,3:56
Ravanasura,2023,Dikka Dishum,"Swathi Reddy, Bheems Ceciroleo, Naresh Mamindla",Bheems Ceciroleo,Kasarla Shyam,3:24
Bhaag Saale,2023,Kootha Ramp,Kaala Bhairava,Kaala Bhairava,Krishna Kanth,4:07
Bhaag Saale,2023,Thera Padadhemo,Kaala Bhairava,Kaala Bhairava,Maschendra,3:07
Bhaag Saale,2023,Prema Kosam,Mangli,Kaala Bhairava,Kasarla Shyam,3:29
Bhaag Saale,2023,Hrudayam Odipoyelaa,Sai Sindhuja,Kaala Bhairava,Sri Valli,3:16
Bhaag Saale,2023,The Vibe Of Bhaag Saale,Pranav Chaganty,Kaala Bhairava,Pranav Chaganty,3:13
2018,2023,Minnal Minnane,Shankar Mahadevan,William Francis,,1:57
2018,2023,Venmegham,K. S. Harisankar,Nobin Paul,,3:15
2018,2023,Innithile,"Ezma Nobin, Madhuri Seshadri",Nobin Paul,,3:21
2018,2023,Uyirayi Maarave,K. S. Harisankar,Nobin Paul,,1:19
2018,2023,Save Me,"Kashyap Rammohan, Ezra Nobin, Shubhangini",Nobin Paul,,1:38
Journey of Love 18+,2023,Maarante Pennalle,Yogi Sekar,Christo Xavier,Vaisakh Sugunan,3 : 17
Journey of Love 18+,2023,Kalyana Raavaane,"Muhammad Mubas, Yogi Sekar, Christo Xavier",Christo Xavier,Suhail Koya,3 : 15
Journey of Love 18+,2023,Kaanal Kinaave,Christo Xavier,Christo Xavier,Vinayak Sasikumar,4 : 39
Journey of Love 18+,2023,Thee Veyilil,Gowry Lekshmi,Christo Xavier,Vaisakh Sugunan,4 : 15
Journey of Love 18+,2023,15 : 26,,Christo Xavier,,
Chaaver,2023,Polika Polika,"Govind Vasantha , Baby Jean, Santhosh Varma",Justin Varghese,,04:44
Chaaver,2023,Poomale Pothiyamme,"Pranav C. P., Niranjana Rema",Justin Varghese,,05:06
Chaaver,2023,Chenthamara,"Pranav C. P., Santhosh Varma",Justin Varghese,,03:57
Chaaver,2023,Chenthamara End Credit Version,"Pranav C. P., Santhosh Varma",Justin Varghese,,05:43
